gender,distance_m,age,factor
M,1500,72,0.7296
M,1500,73,0.7221
M,1500,74,0.7146
M,1500,75,0.7070
M,1500,76,0.6994
M,1500,77,0.6918
M,1500,78,0.6835
M,1500,79,0.6746
M,1500,80,0.6651
M,1500,81,0.6549
M,1500,82,0.6440
M,1500,83,0.6325
M,1500,84,0.6204
M,1500,85,0.6076
M,1500,86,0.5942
M,1500,87,0.5801
M,1500,88,0.5654
M,1500,89,0.5501
M,1500,90,0.5341
M,1500,91,0.5175
M,1500,92,0.5002
M,1500,93,0.4823
M,1500,94,0.4638
M,1500,95,0.4446
M,1500,96,0.4248
M,1500,97,0.4043
M,1500,98,0.3832
M,1500,99,0.3614
M,1500,100,0.3390
M,1500,101,0.3160
M,1500,102,0.2923
M,1500,103,0.2680
M,1500,104,0.2431
M,1500,105,0.2175
M,1500,106,0.1913
M,1500,107,0.1644
M,1500,108,0.1369
M,1500,109,0.1088
M,1500,110,0.0800
